# TestName Variant NumThreads   MinTime MedianTime MaxTime  Productivity1 Productivity2 Productivity3
#    
# Mon Mar  5 22:52:37 EST 2012
# Linux marble.cs.indiana.edu 2.6.32-220.4.2.el6.x86_64 #1 SMP Mon Feb 6 16:39:28 EST 2012 x86_64 x86_64 x86_64 GNU/Linux
# Determined machine to have 4 hardware threads.
# The Glorious Glasgow Haskell Compilation System, version 7.4.1
# 
# Running each test for 3 trial(s).
#  ... with compiler options: -O2 -rtsopts
#  ... with runtime options: -qg -qb0 -qa  -A256K -s
# Benchmarks_File: benchlist.txt
# Benchmarks_Variant: desktop
# Benchmarks_Version: 1.2
# Git_Branch: meta
# Git_Hash: ea5df8db01bff830570ce9a5166b14387686db91
# Git_Depth: 445
# Using the following settings from environment variables:
#  ENV BENCHLIST=
#  ENV THREADS=   1 2 3 4
#  ENV TRIALS=    3
#  ENV SHORTRUN=  
#  ENV SCHEDS=    Trace Direct Sparks SMP
#  ENV KEEPGOING= 1
#  ENV GHC=       ghc-7.4.1
#  ENV GHC_FLAGS= -O2
#  ENV GHC_RTS=   -qg -qb0 -qa  -A256K -s
#  ENV ENVS=      
blackscholes                        10000_15000000       Trace   1                     
blackscholes                        10000_15000000       Trace   2    6.00 6.00 6.00   98.500 98.500 98.664
blackscholes                        10000_15000000       Trace   3    4.03 4.04 4.04   98.263 98.263 98.267
blackscholes                        10000_15000000       Trace   4    3.13 3.14 3.14   98.083 98.083 98.083
blackscholes                        10000_15000000       Direct  1    11.51 11.51 11.52   98.870 98.870 98.870
blackscholes                        10000_15000000       Direct  2    6.07 6.07 6.07   97.364 97.520 97.524
blackscholes                        10000_15000000       Direct  3    4.09 4.09 4.09   96.821 96.821 96.821
blackscholes                        10000_15000000       Direct  4    3.19 3.19 3.20   95.911 95.924 95.924
blackscholes                        10000_15000000       Sparks  1    11.67 11.67 11.67   97.684 97.770 97.772
blackscholes                        10000_15000000       Sparks  2    6.05 6.05 6.05   98.013 98.013 98.013
blackscholes                        10000_15000000       Sparks  3    4.06 4.07 4.09   97.777 97.783 97.794
blackscholes                        10000_15000000       Sparks  4    3.15 3.15 3.16   97.460 97.770 97.460
blackscholes                        10000_15000000       SMP     1    11.54 11.55 11.55   98.872 98.873 98.873
blackscholes                        10000_15000000       SMP     2    6.00 6.00 6.01   98.664 98.664 98.666
blackscholes                        10000_15000000       SMP     3    4.03 4.03 4.03   98.263 98.507 98.507
blackscholes                        10000_15000000       SMP     4    3.13 3.13 3.13   98.083 98.083 98.083
nbody                               13000                Trace   1    3.62 3.62 3.62   99.168 99.171 99.171
nbody                               13000                Trace   2    1.88 1.89 1.89   98.404 98.412 98.412
nbody                               13000                Trace   3    1.27 1.27 1.27   97.619 97.637 97.637
nbody                               13000                Trace   4    0.98 0.98 0.99   96.938 96.938 96.969
nbody                               13000                Direct  1    3.54 3.54 3.55   99.435 99.435 99.435
nbody                               13000                Direct  2    1.84 1.84 1.84   98.913 98.913 98.913
nbody                               13000                Direct  3    1.25 1.25 1.25   97.600 98.387 98.387
nbody                               13000                Direct  4    0.97 0.97 0.97   96.907 96.907 96.938
nbody                               13000                SMP     1    3.57 3.57 3.57   99.438 99.438 99.438
nbody                               13000                SMP     2    1.85 1.85 1.86   98.387 98.918 98.918
nbody                               13000                SMP     3    1.25 1.26 1.26   98.400 98.400 98.400
nbody                               13000                SMP     4    0.98 0.98 0.99   97.938 97.959 97.959
mandel                              1024_1024_256        Trace   1    4.93 4.93 4.93   95.740 95.740 95.934
mandel                              1024_1024_256        Trace   2    2.76 2.76 2.77   92.753 92.753 92.753
mandel                              1024_1024_256        Trace   3    1.93 1.94 1.97   90.673 90.721 89.847
mandel                              1024_1024_256        Trace   4    1.64 1.70 1.74   87.195 86.390 85.632
